"courseSectionExternalId","staffExternalId"
"AFRI020  PZ-01 SP2023","50430498"
"AFRI119  JT-01 SP2023","50010686"
"AFRI149  AF-01 SP2023","20256394"
"ANTH002  PO-01 SP2023","10358055"
"ANTH011  PZ-01 SP2023","50010720"
"ANTH191  PO-04 SP2023","10351624"
"ARBC002  CM-01 SP2023","30223608"
"ARHI186C SC-01 SP2023","20276811"
"ART 119  PZ-01 SP2023","50149046"
"ART 126A SC-01 SP2023","20276815"
"ART 135  SC-01 SP2023","20256565"
"ART 151  JT-01 SP2023","50149046"
"ART 199  PZ-01 SP2023","50140060"
"ASAM191  PO-14 SP2023","50188977"
"ASAM191  PO-56 SP2023","10109779"
"ASTR002  PO-01 SP2023","10346589"
"BIOL044L KS-01 SP2023","20042221"
"BIOL046R HM-04 SP2023","40005453"
"BIOL119  KS-01 SP2023","20078318"
"BIOL143  KS-01 SP2023","20268918"
"BIOL169 LPO-02 SP2023","10358160"
"BIOL184  HM-01 SP2023","40043655"
"BIOL191F PO-28 SP2023","10043238"
"BIOL193  HM-08 SP2023","40154263"
"BIOL193  HM-09 SP2023","40209333"
"BIOL197  HM-01 SP2023","40043116"
"CASA105  PZ-01 SP2023","50058024"
"CGS 038  PZ-01 SP2023","50010723"
"CGS 075  PZ-01 SP2023","50058024"
"CHEM001BLPO-03 SP2023","10043357"
"CHEM015L KS-01 SP2023","20268921"
"CHEM015L KS-02 SP2023","20042124"
"CHEM015L KS-03 SP2023","20042124"
"CHEM015L KS-04 SP2023","20042124"
"CHEM015L KS-05 SP2023","20042124"
"CHEM029L KS-01 SP2023","20042984"
"CHEM070L KS-01 SP2023","20276824"
"CHEM106  PO-01 SP2023","10087224"
"CHEM110B PO-03 SP2023","10370221"
"CHEM111  HM-02 SP2023","40220256"
"CHEM172  PO-01 SP2023","10026608"
"CHEM194  PO-24 SP2023","10032286"
"CHEM197  KS-01 SP2023","20042124"
"CHEM198  HM-01 SP2023","40043116"
"CHIN051B PO-02 SP2023","10370668"
"CHIN051H PO-01 SP2023","10364482"
"CHIN053  PO-01 SP2023","10370118"
"CHLT056  CH-01 SP2023","50456356"
"CHST132  CH-01 SP2023","10357925"
"CHST183  CH-01 SP2023","20253194"
"CLAS130  SC-01 SP2023","20280638"
"CLAS191  PO-08 SP2023","10183410"
"CORE002  SC-01 SP2023","20280575"
"CORE079  HM-01 SP2023","40155077"
"CORE079  HM-01 SP2023","40005461"
"CORE079R HM-01 SP2023","40155077"
"CORE079R HM-04 SP2023","40169278"
"CORE079R HM-07 SP2023","40001194"
"CSCI005  HM-01 SP2023","40169278"
"CSCI046L CM-01 SP2023","30366834"
"CSCI051A PO-01 SP2023","10361322"
"CSCI051ALPO-01 SP2023","10361322"
"CSCI051ALPO-01 SP2023","10354485"
"CSCI051ALPO-03 SP2023","10361322"
"CSCI051ALPO-04 SP2023","10354485"
"CSCI060  HM-01 SP2023","40164205"
"CSCI062  PO-01 SP2023","10366466"
"CSCI105  HM-01 SP2023","40005481"
"CSCI105  HM-02 SP2023","40005481"
"CSCI105  PO-01 SP2023","10357926"
"CSCI131  HM-01 SP2023","40199068"
"CSCI190  PO-02 SP2023","10364363"
"CSCI190  PO-02 SP2023","10180184"
"CSCI191  PO-08 SP2023","10180184"
"CSMT181A JT-01 SP2023","50085735"
"DANC012 PPO-01 SP2023","10042972"
"DANC122 PPO-01 SP2023","10087641"
"DANC162A SC-01 SP2023","20042149"
"DANC181 PPO-01 SP2023","10043312"
"DANC191  SC-01 SP2023","20042149"
"DANC191  SC-01 SP2023","20252405"
"EA  021  CM-01 SP2023","30212259"
"EA  030L KS-01 SP2023","20280646"
"ECON057B PO-01 SP2023","10033472"
"ECON107  PO-02 SP2023","10196880"
"ECON126  CM-01 SP2023","30212591"
"ECON134  CM-06 SP2023","30210025"
"ECON176  PZ-01 SP2023","50439973"
"ECON180  CM-05 SP2023","30367307"
"ENGL110  PZ-01 SP2023","50117734"
"ENGL174  SC-01 SP2023","20252259"
"ENGL191  PO-12 SP2023","10306813"
"ENGL191  PO-16 SP2023","10138259"
"ENGL193  SC-01 SP2023","20260064"
"ENGL197P SC-01 SP2023","20280945"
"ENGR004  HM-02 SP2023","40193798"
"ENGR004L HM-03 SP2023","40193798"
"ENGR072  HM-02 SP2023P1","40005488"
"ENGR083  HM-01 SP2023","40005433"
"ENGR085A HM-01 SP2023P1","40005482"
"ENGR086  HM-01 SP2023","40164714"
"ENGR114  HM-01 SP2023","40043284"
"ENGR114  HM-01 SP2023","40043116"
"ENGR134  HM-01 SP2023","40005411"
"ENGR154  HM-01 SP2023","40005482"
"ENGR178  HM-01 SP2023","40005411"
"FGSS036  SC-01 SP2023","20280577"
"FREN001  PO-01 SP2023","10361272"
"FREN011  PO-01 SP2023","10196894"
"FREN033L CM-04 SP2023","30385346"
"FREN100  SC-01 SP2023","20264690"
"FWS 010  CM-06 SP2023","30313424"
"FWS 010  CM-07 SP2023","30313424"
"FWS 010  CM-11 SP2023","30274755"
"FWS 010  CM-13 SP2023","30385263"
"GERM010  PO-01 SP2023","10141237"
"GOVT070  CM-01 SP2023","30367765"
"GOVT070  CM-03 SP2023","30367765"
"GOVT080  CM-01 SP2023","30075288"
"GOVT110  CM-02 SP2023","30225451"
"GOVT124  CM-01 SP2023","30153500"
"GWS 191  PO-04 SP2023","10354740"
"HIST041  AF-01 SP2023","10361342"
"HIST125  CM-01 SP2023","30297967"
"HIST128  CM-01 SP2023","30030064"
"HIST128  CM-02 SP2023","30030064"
"HIST132  CM-01 SP2023","30294534"
"HIST134  CM-01 SP2023","30153493"
"HIST142E CM-01 SP2023","30028549"
"HIST154  PZ-01 SP2023","50010720"
"HSA 010  HM-04 SP2023","40005435"
"ITAL197B SC-01 SP2023","20280621"
"JAPN001B PO-01 SP2023","10043346"
"LGCS101  PO-01 SP2023","10366578"
"LGCS123  PO-01 SP2023","10108447"
"LIT 099  CM-01 SP2023","30253705"
"LIT 125  CM-01 SP2023","30022092"
"LIT 130  CM-01 SP2023","30274755"
"LIT 134C CM-01 SP2023","30253705"
"MATH030  CM-02 SP2023","30372698"
"MATH055  HM-01 SP2023","40005472"
"MATH060  CM-02 SP2023","30075314"
"MATH060  PO-02 SP2023","10032463"
"MATH102  SC-01 SP2023","20249453"
"MATH135  CM-01 SP2023","30015610"
"MATH197  HM-04 SP2023","40043543"
"MATH197  HM-05 SP2023","40220261"
"MATH197  HM-09 SP2023","40137357"
"MOBI194B PO-08 SP2023","10134553"
"MOBI194B PO-36 SP2023","10043238"
"MOBI194B PO-40 SP2023","10085346"
"MS  049  SC-01 SP2023","10364689"
"MS  196  PZ-01 SP2023","50199958"
"MSL 103B CM-01 SP2023","30372708"
"MUS 032  PO-01 SP2023","10008674"
"MUS 171H SC-01 SP2023","20042136"
"NEUR095L JT-01 SP2023","20042128"
"NEUR095L JT-01 SP2023","20123322"
"NEUR095L JT-01 SP2023","20276822"
"NEUR095L JT-01 SP2023","50010693"
"NEUR101B PO-01 SP2023","10038267"
"NEUR148L KS-01 SP2023","20268920"
"NEUR194B PO-24 SP2023","10038267"
"PE  003  PO-01 SP2023","10291214"
"PE  014C JP-01 SP2023","30346589"
"PE  014E JP-01 SP2023","30322654"
"PE  019B JP-01 SP2023","30354351"
"PE  024  JP-01 SP2023","30346091"
"PE  025  PO-02 SP2023","10366633"
"PE  029  PO-01 SP2023","10348299"
"PE  035B PO-01 SP2023","10211579"
"PE  057B JP-01 SP2023","30232390"
"PE  060C JP-01 SP2023","30322565"
"PE  061  PO-03 SP2023","10313960"
"PE  070D JP-01 SP2023","30346494"
"PE  073  JP-01 SP2023","30243977"
"PE  080  JP-01 SP2023","30384844"
"PE  081B JP-01 SP2023","30379039"
"PE  170W PO-01 SP2023","10355076"
"PE  211  JP-01 SP2023","30031488"
"PHIL001  PO-01 SP2023","10085343"
"PHIL034  CM-02 SP2023","30378975"
"PHIL047  PO-01 SP2023","10023651"
"PHIL090  SC-01 SP2023","20042128"
"PHIL100E CM-01 SP2023","30212027"
"PHIL135  CM-01 SP2023","30025279"
"PHIL198  CM-01 SP2023","30367764"
"PHYS024R HM-02 SP2023","40155256"
"PHYS024R HM-02 SP2023","40155256"
