"externalId","courseSectionExternalId","classBeginningTime","classEndingTime","classMeetingDays","InstructionSiteName","InstructionSiteType"
"BIOL041E PO-01 SP2023159981","BIOL041E PO-01 SP2023","1315","1700","--T----","PO SE 113","OnCampus"
"BIOL041E PO-02 SP2023159982","BIOL041E PO-02 SP2023","1100","1150","-M-W-F-","PO SE 121","OnCampus"
"BIOL041E PO-02 SP2023159983","BIOL041E PO-02 SP2023","1315","1700","---W---","PO SE 113","OnCampus"
"BIOL042L KS-01 SP2023158972","BIOL042L KS-01 SP2023","1000","1200","-M-W-F-","SC HM AUD","OnCampus"
"BIOL042L KS-02 SP2023158972","BIOL042L KS-02 SP2023","1000","1200","-M-W-F-","SC HM AUD","OnCampus"
"BIOL042LXKS-01 SP2023161070","BIOL042LXKS-01 SP2023","1315","1615","-M-----","CU KSII 402","OnCampus"
"BIOL042LXKS-01 SP2023161071","BIOL042LXKS-01 SP2023","1800","2100","---W---","CU KSII 402","OnCampus"
"BIOL042LXKS-02 SP2023161072","BIOL042LXKS-02 SP2023","1315","1615","---W---","CU KSII 402","OnCampus"
"BIOL042LXKS-02 SP2023161073","BIOL042LXKS-02 SP2023","1800","2100","-M-----","CU KSII 402","OnCampus"
"BIOL044L KS-01 SP2023158952","BIOL044L KS-01 SP2023","900","950","-M-W-F-","CU KS B31","OnCampus"
"BIOL044L KS-02 SP2023158953","BIOL044L KS-02 SP2023","1000","1050","-M-W-F-","CU KS B31","OnCampus"
"BIOL044L KS-03 SP2023158954","BIOL044L KS-03 SP2023","935","1050","-M-W---","CU KS 127","OnCampus"
"BIOL044L KS-04 SP2023158957","BIOL044L KS-04 SP2023","935","1050","--T-R--","CU KS 1","OnCampus"
"BIOL044L KS-05 SP2023158958","BIOL044L KS-05 SP2023","935","1050","--T-R--","CU KS 127","OnCampus"
"BIOL044L KS-06 SP2023158959","BIOL044L KS-06 SP2023","1100","1215","--T-R--","CU KS 127","OnCampus"
"BIOL044LXKS-01 SP2023158970","BIOL044LXKS-01 SP2023","1330","1715","-M-----","CU KSII 101","OnCampus"
"BIOL044LXKS-02 SP2023159221","BIOL044LXKS-02 SP2023","1330","1715","-M-----","CU KSII 201","OnCampus"
"BIOL044LXKS-03 SP2023159223","BIOL044LXKS-03 SP2023","1330","1715","--T----","CU KSII 101","OnCampus"
"BIOL044LXKS-04 SP2023159225","BIOL044LXKS-04 SP2023","1330","1715","--T----","CU KSII 201","OnCampus"
