"permCountExternalId","PermCount"
"FWS 010  CM-14 SP2023","1"
"GEOL020A PO-01 SP2023","90"
"GEOL020A PO-02 SP2023","90"
"GEOL020C PO-01 SP2023","64"
"GEOL129  PO-01 SP2023","1"
"GEOL189G PO-01 SP2023","11"
"GEOL192  PO-04 SP2023","12"
"GEOL192  PO-08 SP2023","4"
"GERM002  SC-01 SP2023","4"
"GOVT020  CM-01 SP2023","16"
"GOVT020  CM-02 SP2023","26"
"GOVT020  CM-03 SP2023","23"
"GOVT020  CM-04 SP2023","15"
"GOVT020  CM-05 SP2023","11"
"GOVT020  CM-06 SP2023","13"
"GOVT020  CM-07 SP2023","12"
"GOVT020  CM-08 SP2023","5"
"GOVT041  CM-01 SP2023","2"
"GOVT041B CM-01 SP2023","19"
"GOVT060  CM-01 SP2023","10"
"GOVT060  CM-02 SP2023","9"
"GOVT060  CM-03 SP2023","14"
"GOVT065  CM-01 SP2023","6"
"GOVT070  CM-01 SP2023","23"
"GOVT070  CM-02 SP2023","27"
"GOVT070  CM-03 SP2023","18"
"GOVT070H CM-01 SP2023","16"
"GOVT071  CM-01 SP2023","7"
"GOVT080  CM-01 SP2023","17"
"GOVT080  CM-02 SP2023","13"
"GOVT100  CM-01 SP2023","8"
"GOVT101  CM-01 SP2023","13"
"GOVT106  CM-01 SP2023","15"
"GOVT107  CM-01 SP2023","23"
"GOVT110  CM-01 SP2023","9"
"GOVT110  CM-02 SP2023","6"
"GOVT117  CM-01 SP2023","20"
"GOVT124  CM-01 SP2023","2"
"GOVT128  JT-01 SP2023","8"
"GOVT137  CM-01 SP2023","9"
"GOVT137A CM-01 SP2023","8"
"GOVT138C CM-01 SP2023","3"
"GOVT140  CM-01 SP2023","19"
"GOVT142  CM-01 SP2023","8"
"GOVT143C CM-01 SP2023","14"
"GOVT144D CM-01 SP2023","4"
"GOVT145E CM-01 SP2023","12"
"GOVT148  CM-01 SP2023","4"
"GOVT150  CM-01 SP2023","27"
"GOVT154  CM-01 SP2023","5"
"GOVT165  CM-01 SP2023","2"
"GOVT999  CM-02 SP2023","1"
"GWS 026  PO-01 SP2023","17"
"GWS 026  PO-02 SP2023","37"
"GWS 162  PO-01 SP2023","22"
"GWS 183  PO-02 SP2023","1"
"GWS 184  PO-01 SP2023","14"
"GWS 191  PO-04 SP2023","3"
"GWS 191  PO-12 SP2023","2"
"HIST025  CH-01 SP2023","12"
"HIST025  PZ-01 SP2023","5"
"HIST032  CH-01 SP2023","5"
"HIST042  PZ-01 SP2023","10"
"HIST043  PO-01 SP2023","4"
"HIST054  CM-01 SP2023","10"
"HIST056  CM-01 SP2023","17"
"HIST056  CM-02 SP2023","25"
"HIST059  CM-01 SP2023","1"
"HIST059  PZ-01 SP2023","20"
"HIST068  PZ-01 SP2023","3"
"HIST071  PO-01 SP2023","8"
"HIST082  HM-01 SP2023","4"
"HIST087  PZ-01 SP2023","10"
"HIST099  CM-01 SP2023","17"
"HIST101T CH-01 SP2023","2"
"HIST111  CM-01 SP2023","39"
